,workflow_size,max_subgraph_size,series_nodes_count,parallel_nodes_count,series_nodes_weighted_sum,parallel_nodes_weighted_sum,series_nodes_weighted_by_depth,parallel_nodes_weighted_by_depth,cost_increase
0,572,429,0,2,0.0,1.9546979865771812,0,3,1.0
1,572,286,0,3,0.0,2.546979865771812,0,6,1.0000000000000002
2,572,143,0,5,0.0,3.278523489932886,0,11,1.0000000000000004
3,572,85,0,10,0.0,4.246644295302014,0,21,1.0000000000000004
4,572,57,0,11,0.0,4.385906040268456,0,23,1.0000000000000004
5,572,28,22,21,1.0704697986577179,5.325503355704696,22,65,1.0419444766908508
6,572,11,44,87,1.5663430420711972,6.854368932038831,132,238,1.0419444766908508
7,572,5,44,263,1.5663430420711972,8.847896440129466,220,654,1.0462118480301124
8,82,61,0,1,0.0,1.0,0,1,0.9999999999999998
9,82,41,2,1,1.0232558139534884,1.0,2,2,1.0723734877470634
10,82,20,4,5,1.6818181818181817,2.2954545454545454,12,13,1.0723734877470634
11,82,12,4,9,1.6818181818181817,3.068181818181818,16,22,1.0723734877470634
12,82,8,4,17,1.6818181818181817,4.0,20,39,1.094189778895015
13,82,4,4,39,1.6818181818181817,5.545454545454546,24,84,1.1741655257784342
14,246,184,0,2,0.0,1.8346456692913384,0,3,1.0000000000000007
15,246,123,0,3,0.0,2.338582677165354,0,6,1.0000000000000004
16,246,61,0,5,0.0,3.0157480314960625,0,11,1.0000000000000004
17,246,36,6,5,1.0393700787401574,3.0157480314960625,6,16,1.026009534853481
18,246,24,12,17,1.707692307692308,4.3307692307692305,36,55,1.026009534853481
19,246,12,12,29,1.707692307692308,5.115384615384613,48,84,1.026009534853481
20,246,4,12,119,1.707692307692308,7.630769230769218,72,274,1.0862626666838981
21,246,2,252,233,3.588000000000002,8.695999999999962,336,740,1.1694230564907895
22,902,676,0,2,0.0,1.818574514038877,0,3,1.0000000000000004
23,902,451,0,5,0.0,3.8660907127429804,0,15,0.9999999999999998
24,902,225,0,7,0.0,4.505399568034557,0,22,1.0000000000000016
25,902,135,0,11,0.0,5.239740820734342,0,33,1.0000000000000018
26,902,90,0,11,0.0,5.239740820734342,0,33,1.0000000000000018
27,902,45,0,21,0.0,6.16846652267819,0,54,1.0000000000000018
28,902,18,44,65,1.7172995780590725,7.4905063291139244,132,226,1.0348675070496607
29,902,9,44,197,1.7172995780590725,9.231012658227835,220,532,1.0414171211962322
