,workflow_size,max_subgraph_size,series_nodes_count,parallel_nodes_count,series_nodes_weighted_sum,parallel_nodes_weighted_sum,series_nodes_weighted_by_depth,parallel_nodes_weighted_by_depth,cost_increase
0,507,380,1,1,1.0,0.9941060903732809,2,1,1.0055693354273036
1,507,253,1,2,1.0,1.6895874263261297,3,3,1.0055585346095965
2,507,126,1,5,1.0,2.6915520628683693,4,8,1.0055585346095965
3,507,76,9,9,2.562862669245648,3.450676982591876,27,27,1.0761096587125818
4,507,50,11,13,2.8535645472061653,3.9460500963391136,39,38,1.0761096587125818
5,507,25,13,30,3.00383877159309,5.136276391554701,59,75,1.076515846863418
6,507,10,13,62,3.00383877159309,6.234165067178496,74,140,1.0774163286923977
7,507,5,136,122,4.340062111801238,7.349378881987572,223,384,1.0964441563985576
8,41,30,1,1,1.0,0.9047619047619048,2,1,1.098147084561043
9,41,20,1,2,1.0,1.4285714285714286,3,3,1.0981470845610428
10,41,10,1,4,1.0,2.1904761904761907,4,7,1.0985893900951436
11,41,6,1,8,1.0,3.1428571428571432,5,15,1.098573252911478
12,41,4,17,8,2.93103448275862,3.1724137931034475,30,31,1.116457653462783
13,41,2,39,8,4.15,3.1000000000000005,93,46,1.1408013285303207
14,983,737,1,1,1.0,0.9969543147208122,2,1,1.0303066328070856
15,983,491,1,2,1.0,1.6,3,3,1.030292275762771
16,983,245,1,4,1.0,2.3796954314720815,4,7,1.0302922757627704
17,983,147,10,9,2.7112676056338025,3.3692152917505034,28,25,1.099646301036976
18,983,98,11,13,2.85929648241206,3.879396984924623,39,38,1.1063223636143926
19,983,49,13,30,3.0020060180541623,5.071213640922769,59,75,1.107110321097617
20,983,19,13,62,3.0020060180541623,6.1303911735205645,74,140,1.1082028478989738
21,983,9,13,241,3.0020060180541623,8.391173520561699,100,503,1.1140970042462546
22,233,174,1,2,1.0,1.8127659574468085,3,3,1.0286919655988294
23,233,116,1,2,1.0,1.8127659574468085,3,3,1.0286919655988294
24,233,58,5,5,2.6569037656903767,2.8953974895397496,19,15,1.0703613019636016
25,233,34,7,8,2.9834024896265565,3.435684647302905,26,19,1.0706729942645614
26,233,23,7,13,2.9834024896265565,4.124481327800829,31,31,1.0716957549358268
27,233,11,7,28,2.9834024896265565,5.228215767634854,40,61,1.0727254143300318
28,233,4,91,55,4.7969230769230835,6.335384615384617,173,213,1.1118071796940048
29,233,2,232,55,6.055793991416305,6.2875536480686725,503,309,1.1239451827628988
