,workflow_size,max_subgraph_size,series_nodes_count,parallel_nodes_count,series_nodes_weighted_sum,parallel_nodes_weighted_sum,series_nodes_weighted_by_depth,parallel_nodes_weighted_by_depth,cost_increase
0,64,48,1,0,1.0,0.0,1,0,1.0026353200322111
1,64,32,1,2,1.0,1.0151515151515151,2,2,1.0026353200322111
2,64,16,2,6,1.4328358208955223,2.2089552238805967,8,11,1.002635782903698
3,64,9,2,12,1.4328358208955223,3.1194029850746263,10,23,1.002635782903698
4,64,6,3,15,1.5588235294117647,3.4264705882352935,12,27,1.0026357829036978
5,64,3,3,59,1.5588235294117647,6.411764705882347,18,116,1.0026357829036978
6,42,31,1,0,1.0,0.0,1,0,1.0041052353678201
7,42,21,1,2,1.0,1.0227272727272727,2,2,1.0041052353678201
8,42,10,1,4,1.0,1.6818181818181817,3,6,1.0041052353678201
9,42,6,1,9,1.0,2.75,4,15,1.0041052353678201
10,42,4,1,19,1.0,4.09090909090909,5,34,1.00410523536782
11,42,2,42,39,2.9294117647058804,5.199999999999999,48,112,1.0041074824527672
12,84,63,1,0,1.0,0.0,1,0,1.0268028288224949
13,84,42,1,2,1.0,1.0116279069767442,2,2,1.0268028288224944
14,84,21,2,4,1.3333333333333333,1.632183908045977,6,7,1.0268030971290554
15,84,12,3,8,1.5454545454545454,2.4318181818181817,10,15,1.0268030971290556
16,84,8,3,18,1.5454545454545454,3.5795454545454546,13,33,1.0268030971290556
17,84,4,3,40,1.5454545454545454,5.068181818181818,16,77,1.0268030971290554
18,22,16,1,0,1.0,0.0,1,0,1.0281087404879852
19,22,11,1,2,1.0,1.0416666666666665,2,2,1.0281087404879854
20,22,5,1,8,1.0,2.75,4,14,1.0281087404879854
21,22,3,1,19,1.0,4.625,5,34,1.0281087404879854
22,22,2,22,19,2.8666666666666667,4.0888888888888895,27,53,1.0281156324924334
